feature,importance,pct_of_total,method,model_type,rank
tfidf::baidu.com,0.014393279144382681,0.2093844411338016,shap_mean_abs,LGBMClassifier,87
tfidf::fbcdn.net,0.014230395442353725,0.20701491070386843,shap_mean_abs,LGBMClassifier,88
tfidf::akamaiedge.net,0.014150712005734024,0.20585572580396685,shap_mean_abs,LGBMClassifier,89
tfidf::windows.net,0.012791677333845668,0.18608533766653815,shap_mean_abs,LGBMClassifier,90
meta::browser_Chrome,0.01194294257795358,0.1737384741929249,shap_mean_abs,LGBMClassifier,91
tfidf::opendns.com,0.011127616209415969,0.16187761508601833,shap_mean_abs,LGBMClassifier,92
tfidf::windowsupdate.com,0.010457138680154507,0.15212392648254444,shap_mean_abs,LGBMClassifier,93
tfidf::apple.com,0.00995133583134479,0.14476582234522284,shap_mean_abs,LGBMClassifier,94
meta::browser_Firefox,0.008437021631501345,0.12273652455598728,shap_mean_abs,LGBMClassifier,95
tfidf::gvt1.com,0.007923165171025424,0.11526126150297165,shap_mean_abs,LGBMClassifier,96
meta::locale_bg-BG,0.006710826559195735,0.09762491608393924,shap_mean_abs,LGBMClassifier,97
time::is_night,0.006529081664919708,0.09498100480179339,shap_mean_abs,LGBMClassifier,98
tfidf::googleusercontent.com,0.006383725369345076,0.09286645214086955,shap_mean_abs,LGBMClassifier,99
meta::country_Spain,0.005690056338822479,0.08277538805249712,shap_mean_abs,LGBMClassifier,100
